i,j,a
1,16,30
2,16,319
3,16,4526
4,16,851
5,16,3324
6,16,3510
7,16,67
9,16,241
10,16,1846
11,16,950
12,16,478
13,16,318
14,16,8420
15,16,916
16,16,370554
17,16,1715
18,16,536
19,16,468
20,16,275
21,16,110
22,16,138
23,16,1709
24,16,6175
25,16,650
26,16,4811
27,16,417
28,16,9575
29,16,114
30,16,47
31,16,332
33,16,928
34,16,654
35,16,208
36,16,1146
37,16,580
38,16,659
39,16,1176
40,16,82
41,16,1379
42,16,4772
43,16,387
44,16,3236
45,16,290
47,16,1503
48,16,1000
50,16,3306
51,16,342
1,17,842
2,17,750
3,17,1708
4,17,2008
5,17,2810
6,17,3718
7,17,16
8,17,7
9,17,6
10,17,2661
11,17,4513
12,17,125
13,17,479
14,17,2533
15,17,1321
16,17,1776
17,17,362782
18,17,253
19,17,312
20,17,523
21,17,689
22,17,969
23,17,1148
24,17,606
25,17,66
26,17,20884
27,17,845
28,17,3040
29,17,602
31,17,317
32,17,1333
33,17,838
34,17,4995
35,17,75
36,17,657
37,17,4626
38,17,1263
39,17,2323
40,17,374
41,17,1885
42,17,144
43,17,1805
44,17,12766
45,17,1146
46,17,7
47,17,892
48,17,2820
50,17,418
51,17,286
1,18,2686
2,18,237
3,18,2134
4,18,213
5,18,1201
6,18,1361
8,18,305
9,18,297
10,18,5441
11,18,3686
12,18,18
13,18,120
14,18,5569
15,18,10177
16,18,387
17,18,1167
18,18,505741
19,18,1520
20,18,158
21,18,848
22,18,180
23,18,2578
24,18,755
25,18,1626
26,18,1993
28,18,352
29,18,628
31,18,102
32,18,87
33,18,2414
34,18,1637
36,18,12744
37,18,1398
38,18,71
39,18,4013
40,18,211
41,18,2454
42,18,211
43,18,13884
44,18,6616
45,18,611
46,18,627
47,18,3630
48,18,1271
49,18,515
50,18,1040
51,18,83
1,19,2413
2,19,1077
3,19,844
4,19,2120
5,19,3600
6,19,908
7,19,315
10,19,6094
11,19,6541
12,19,179
13,19,51
14,19,1315
15,19,2241
16,19,228
17,19,519
18,19,1399
19,19,538691
20,19,138
21,19,860
22,19,977
23,19,955
24,19,573
25,19,7139
26,19,1728
28,19,222
29,19,78
31,19,871
32,19,184
33,19,1495
34,19,2936
35,19,422
36,19,1872
37,19,1934
39,19,615
40,19,121
41,19,878
43,19,1901
44,19,25513
45,19,494
46,19,41
47,19,2496
48,19,1016
49,19,326
50,19,850
51,19,114
1,20,626
4,20,30
5,20,1658
6,20,1358
7,20,259
10,20,4689
11,20,408
12,20,106
14,20,693
15,20,275
16,20,26
17,20,481
18,20,71
19,20,120
20,20,157102
21,20,1526
22,20,4006
23,20,599
24,20,321
26,20,291
27,20,71
28,20,122
29,20,49
30,20,3080
31,20,624
32,20,510
33,20,2915
34,20,824
35,20,50
37,20,271
38,20,269
39,20,608
40,20,228
41,20,652
43,20,9
44,20,1357
46,20,322
47,20,2855
48,20,1313
49,20,45
50,20,12
1,21,1606
2,21,216
3,21,1918
4,21,133
5,21,7793
6,21,3303
7,21,1267
8,21,4238
9,21,14129
10,21,15410
11,21,3708
12,21,341
14,21,2565
15,21,480
16,21,487
17,21,3180
18,21,2076
19,21,1221
20,21,52
21,21,553895
22,21,2762
23,21,1035
24,21,424
25,21,265
26,21,716
27,21,57
28,21,318
29,21,931
30,21,222
31,21,5335
32,21,2277
33,21,5037
34,21,10485
35,21,10
36,21,4982
37,21,432
38,21,453
39,21,17751
40,21,472
41,21,3807
42,21,254
43,21,1135
44,21,9443
45,21,342
46,21,361
47,21,22051
48,21,1899
49,21,7515
50,21,147
1,22,112
2,22,141
3,22,743
4,22,781
5,22,10244
6,22,2157
7,22,8691
8,22,806
9,22,2048
10,22,13701
11,22,4436
12,22,92
13,22,396
14,22,3507
15,22,952
16,22,466
17,22,28
18,22,1019
19,22,439
20,22,4439
21,22,3470
22,22,656441
23,22,2861
24,22,970
25,22,1445
26,22,463
27,22,10
29,22,256
30,22,15526
31,22,4675
32,22,252
33,22,14646
34,22,9053
35,22,369
36,22,2101
37,22,160
38,22,1423
39,22,6284
40,22,7715
41,22,730
42,22,113
43,22,1690
44,22,5035
45,22,959
46,22,2378
47,22,5386
48,22,1580
49,22,236
50,22,733
51,22,152
1,23,2797
2,23,771
3,23,9396
4,23,1881
5,23,12069
6,23,3225
7,23,692
8,23,43
9,23,1108
10,23,19640
11,23,6992
12,23,1303
13,23,615
14,23,10274
15,23,7896
16,23,1687
17,23,1947
18,23,3178
19,23,1163
20,23,702
21,23,2077
22,23,2629
23,23,1242917
24,23,5164
25,23,1610
26,23,2830
27,23,353
28,23,683
29,23,1663
30,23,155
31,23,1889
32,23,908
33,23,3936
34,23,7530
35,23,328
36,23,14330
37,23,1038
38,23,1652
39,23,4406
40,23,178
41,23,4483
42,23,239
43,23,5983
44,23,15654
45,23,1099
46,23,335
47,23,7323
48,23,3720
49,23,459
50,23,5623
51,23,849
1,24,327
2,24,593
3,24,3297
4,24,232
5,24,5687
6,24,3055
7,24,76
8,24,201
9,24,409
10,24,4663
11,24,1808
12,24,933
13,24,566
14,24,4496
15,24,1168
16,24,5634
17,24,679
18,24,475
19,24,698
20,24,296
21,24,810
22,24,862
23,24,2671
24,24,646176
25,24,614
26,24,2026
27,24,969
28,24,1455
29,24,1055
30,24,104
31,24,1261
32,24,438
33,24,1824
34,24,1294
35,24,12244
36,24,1788
37,24,497
38,24,1413
39,24,853
40,24,27
41,24,471
42,24,5342
43,24,445
44,24,7691
45,24,939
46,24,206
47,24,834
48,24,1543
50,24,17927
51,24,357
1,25,3945
2,25,554
3,25,1226
4,25,1731
5,25,2092
6,25,879
7,25,69
9,25,83
10,25,5175
11,25,5380
12,25,371
13,25,62
14,25,1521
15,25,469
16,25,408
17,25,1517
18,25,1248
19,25,10255
21,25,1109
22,25,356
23,25,715
24,25,549
25,25,332934
26,25,1641
28,25,424
29,25,203
30,25,160
31,25,510
32,25,556
33,25,401
34,25,1273
35,25,80
36,25,691
37,25,199
38,25,7
39,25,1238
41,25,2163
42,25,129
43,25,9172
44,25,6048
45,25,143
47,25,1682
48,25,1110
50,25,983
51,25,70
1,26,1086
2,26,921
3,26,3872
4,26,7314
5,26,7677
6,26,4552
7,26,365
8,26,713
9,26,112
10,26,7114
11,26,2514
12,26,308
13,26,384
14,26,13889
15,26,1824
16,26,3649
17,26,22033
18,26,2793
19,26,1375
20,26,325
21,26,1469
22,26,1261
23,26,2509
24,26,1345
25,26,1581
26,26,801046
27,26,158
28,26,1848
29,26,335
30,26,153
31,26,583
32,26,1183
33,26,1417
34,26,2638
35,26,330
36,26,2003
37,26,5781
38,26,1172
39,26,1761
40,26,109
41,26,1522
42,26,354
43,26,3795
44,26,13473
45,26,511
46,26,69
47,26,2277
48,26,3307
49,26,309
50,26,2090
51,26,241
1,27,317
2,27,248
3,27,2431
4,27,713
5,27,2599
6,27,4079
7,27,206
9,27,38
10,27,559
11,27,246
12,27,85
13,27,1602
14,27,304
15,27,34
16,27,370
17,27,270
18,27,216
19,27,278
20,27,10
21,27,73
22,27,596
23,27,84
24,27,1457
26,27,845
27,27,122210
28,27,64
29,27,1137
30,27,230
31,27,49
32,27,544
33,27,391
34,27,563
35,27,1227
36,27,101
37,27,803
38,27,1079
39,27,338
41,27,915
42,27,232
43,27,43
44,27,537
45,27,1241
47,27,617
48,27,2125
49,27,60
50,27,143
51,27,1105
1,28,770
2,28,5
3,28,1393
4,28,332
5,28,1955
6,28,4582
7,28,62
8,28,12
9,28,79
10,28,3857
11,28,4144
12,28,91
13,28,439
14,28,827
15,28,622
16,28,6490
17,28,1648
18,28,471
19,28,176
22,28,637
23,28,439
24,28,1936
25,28,118
26,28,4860
27,28,384
28,28,253269
29,28,32
30,28,33
31,28,312
32,28,353
33,28,579
34,28,1056
35,28,218
36,28,1176
37,28,1979
38,28,324
39,28,582
41,28,204
42,28,1695
43,28,631
44,28,3837
45,28,195
47,28,256
48,28,673
49,28,78
50,28,483
51,28,1784
1,29,257
2,29,532
3,29,8756
4,29,641
5,29,36159
6,29,4061
7,29,160
9,29,238
10,29,3527
11,29,774
12,29,1548
13,29,3581
14,29,2454
15,29,511
16,29,2009
17,29,657
18,29,1358
19,29,994
20,29,150
21,29,1105
22,29,163
23,29,1215
24,29,2682
25,29,84
26,29,1544
27,29,688
28,29,240
29,29,480317
30,29,186
31,29,899
32,29,2099
33,29,1785
34,29,1048
35,29,845
36,29,1851
37,29,705
38,29,7222
39,29,1057
41,29,1017
42,29,110
43,29,883
44,29,7793
45,29,4315
46,29,15
47,29,1717
48,29,4925
49,29,293
50,29,663
51,29,427
1,30,64
2,30,520
3,30,228
4,30,52
5,30,1222
6,30,489
7,30,1221
9,30,145
10,30,4324
11,30,132
12,30,107
13,30,129
14,30,590
15,30,90
17,30,27
18,30,52
19,30,15
20,30,4302
21,30,232
22,30,12010
23,30,73
24,30,21
25,30,65
26,30,769
30,30,122129
31,30,499
32,30,114
33,30,2972
34,30,2078
36,30,1992
38,30,427
39,30,1326
40,30,941
41,30,372
43,30,132
44,30,459
45,30,34
46,30,2244
47,30,1344
48,30,824
49,30,160
50,30,480
1,31,1996
2,31,128
3,31,3379
4,31,341
5,31,8053
6,31,2863
7,31,3809
8,31,6297
9,31,1035
10,31,25206
11,31,8371
12,31,564
13,31,84
14,31,3009
15,31,651
16,31,185
17,31,1189
18,31,1289
19,31,453
20,31,694
21,31,9627
22,31,8332
23,31,1849
24,31,631
25,31,269
26,31,1114
27,31,889
28,31,119
29,31,2118
30,31,294
31,31,693380
32,31,245
33,31,41450
34,31,10374
35,31,183
36,31,3936
37,31,391
38,31,1322
39,31,36133
40,31,1224
41,31,4241
42,31,441
43,31,1396
44,31,7578
45,31,506
46,31,962
47,31,7327
48,31,2006
49,31,1431
50,31,378
51,31,7
1,32,119
2,32,226
3,32,4610
4,32,775
5,32,5904
6,32,8797
7,32,265
10,32,1376
11,32,791
12,32,354
13,32,141
14,32,1573
15,32,504
16,32,421
17,32,769
18,32,553
19,32,1028
20,32,144
21,32,797
22,32,199
23,32,508
24,32,540
25,32,1075
26,32,1016
27,32,264
